Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Genres,Country,Language,Runtime,Genres,,,,,,,
The Incredible Melting Man,1977,18+,4.2,7%,0,0,1,0,0,"Horror,Sci-Fi",United States,English,84,Horror,Sci-Fi,,,,,,
Sister Act 2: Back in the Habit,1993,7+,5.6,7%,0,0,0,1,0,"Comedy,Family,Music",United States,English,107,Comedy,Family,Music,,,,,
Meet the Deedles,1998,7+,4.1,7%,0,0,0,1,0,"Comedy,Family",United States,English,93,Comedy,Family,,,,,,
It Takes Two,1995,7+,5.9,8%,1,0,1,0,0,"Comedy,Family,Romance",United States,English,101,Comedy,Family,Romance,,,,,
The Last Face,2016,18+,4.9,8%,1,0,0,0,0,"Drama,Romance",United States,English,130,Drama,Romance,,,,,,
I Still See You,2018,13+,5.8,8%,0,1,1,0,0,"Fantasy,Horror,Sci-Fi,Thriller",United States,English,98,Fantasy,Horror,Sci-Fi,Thriller,,,,
Bangkok Dangerous,2008,18+,5.4,8%,0,1,0,0,0,"Action,Crime,Thriller","United States,Czech Republic,Thailand","English,Thai",99,Action,Crime,Thriller,,,,,
The Reunion,2011,13+,5.2,8%,0,1,1,0,0,Comedy,"United Kingdom,United States",English,94,Comedy,,,,,,,
House II: The Second Story,1987,13+,5.4,8%,0,0,1,0,0,"Comedy,Fantasy,Horror",United States,English,88,Comedy,Fantasy,Horror,,,,,
Are You Here,2013,18+,5.3,8%,0,0,1,0,0,"Comedy,Drama",United States,English,114,Comedy,Drama,,,,,,
My Boss's Daughter,2003,13+,4.7,8%,0,0,1,0,0,"Comedy,Romance",United States,English,86,Comedy,Romance,,,,,,
Girl on a Bicycle,2013,18+,6.2,8%,0,0,1,0,0,"Comedy,Drama,Romance","Germany,France","English,French,German,Italian",101,Comedy,Drama,Romance,,,,,
The Babymakers,2012,18+,4.9,8%,0,0,1,0,0,Comedy,United States,English,95,Comedy,,,,,,,
Miss Conception,2008,18+,4.6,8%,0,0,1,0,0,"Comedy,Romance","United Kingdom,United States,Germany",English,104,Comedy,Romance,,,,,,
"Rio, I Love You",2014,18+,5.2,8%,0,0,1,0,0,"Comedy,Drama,Fantasy,Romance","Brazil,United States,France","Portuguese,English,French,Spanish",110,Comedy,Drama,Fantasy,Romance,,,,
The Offering,2016,18+,3.8,8%,0,0,1,0,0,"Drama,Horror,Mystery,Thriller","Singapore,United States",English,95,Drama,Horror,Mystery,Thriller,,,,
That's What She Said,2012,18+,3.9,8%,0,0,1,0,0,Comedy,United States,English,84,Comedy,,,,,,,
31 North 62 East,2009,18+,4.1,8%,0,0,1,0,0,Thriller,United Kingdom,English,105,Thriller,,,,,,,
Mega Piranha,2010,18+,2.4,8%,0,0,1,0,0,"Action,Adventure,Comedy,Horror,Sci-Fi,Thriller",United States,"English,Spanish",92,Action,Adventure,Comedy,Horror,Sci-Fi,Thriller,,
The Do-Over,2016,18+,5.7,9%,1,0,1,0,0,"Action,Adventure,Comedy,Mystery",United States,English,108,Action,Adventure,Comedy,Mystery,,,,
A Haunted House,2013,18+,5,9%,1,0,0,0,0,"Comedy,Fantasy",United States,"English,Spanish",86,Comedy,Fantasy,,,,,,
"Game Over, Man!",2018,18+,5.4,9%,1,0,0,0,0,"Action,Comedy",United States,English,101,Action,Comedy,,,,,,
The Cat in the Hat,2003,7+,3.9,9%,1,1,0,0,0,"Adventure,Comedy,Family,Fantasy",United States,English,82,Adventure,Comedy,Family,Fantasy,,,,
Good People,2014,18+,5.5,9%,1,0,0,0,0,"Action,Crime,Thriller","United States,United Kingdom,Denmark,Sweden",English,90,Action,Crime,Thriller,,,,,
Æon Flux,2005,13+,5.4,9%,0,1,0,0,0,"Action,Adventure,Sci-Fi,Thriller","United States,Germany,Brazil,Italy",English,93,Action,Adventure,Sci-Fi,Thriller,,,,
Sundown,2016,18+,5.4,9%,0,0,1,0,0,"Action,Comedy,Romance","Mexico,United States",English,103,Action,Comedy,Romance,,,,,
Despite the Falling Snow,2016,13+,5.8,9%,0,0,1,0,0,"Drama,Mystery,Romance,Thriller","United Kingdom,Canada",English,93,Drama,Mystery,Romance,Thriller,,,,
Postal,2007,18+,4.5,9%,0,0,1,0,0,"Action,Comedy,Crime,Thriller","United States,Canada,Germany",English,100,Action,Comedy,Crime,Thriller,,,,
The Dust Factory,2004,7+,6,9%,0,0,1,0,0,"Drama,Family,Fantasy",United States,English,99,Drama,Family,Fantasy,,,,,
Sex and Breakfast,2007,18+,4.8,9%,0,0,1,0,0,"Comedy,Drama,Romance",United States,English,81,Comedy,Drama,Romance,,,,,
Accidental Love,2015,13+,4.1,9%,0,0,1,0,0,"Comedy,Romance","United States,United Kingdom","English,Portuguese",100,Comedy,Romance,,,,,,
Dark House,2014,18+,4.8,9%,0,0,1,0,0,"Horror,Thriller",United States,English,102,Horror,Thriller,,,,,,
Age of the Dragons,2011,13+,3.4,9%,0,0,1,0,0,"Action,Adventure,Fantasy","United States,United Kingdom",English,91,Action,Adventure,Fantasy,,,,,
Reverb,2007,13+,3.9,9%,0,0,1,0,0,Horror,United Kingdom,English,88,Horror,,,,,,,
Blank Check,1994,7+,5.3,9%,0,0,0,1,0,"Comedy,Crime,Family",United States,English,93,Comedy,Crime,Family,,,,,
Silent Hill: Revelation 3D,2012,18+,5,10%,1,0,0,0,0,Horror,"Canada,France,Japan",English,95,Horror,,,,,,,
The Watcher,2000,18+,5.3,10%,1,0,0,0,0,"Mystery,Thriller","Canada,United States",English,103,Mystery,Thriller,,,,,,
Krystal,2018,18+,5.4,10%,1,0,0,0,0,"Comedy,Drama",United States,English,90,Comedy,Drama,,,,,,
Happy Family,2017,7+,4.8,10%,1,0,0,0,0,"Animation,Comedy,Family,Horror","Germany,United Kingdom","English,German",93,Animation,Comedy,Family,Horror,,,,
House of D,2004,13+,7,10%,0,1,1,0,0,"Comedy,Drama",United States,"English,French",97,Comedy,Drama,,,,,,
Killers,2010,13+,5.4,10%,0,0,1,0,0,"Action,Comedy,Romance,Thriller",United States,English,100,Action,Comedy,Romance,Thriller,,,,
Gone,2012,13+,5.9,10%,0,0,1,0,0,"Drama,Mystery",United Kingdom,English,270,Drama,Mystery,,,,,,
Bad Kids of Crestview Academy,2017,18+,5.6,10%,0,0,1,0,0,"Action,Comedy,Thriller",United States,English,100,Action,Comedy,Thriller,,,,,
Unfinished Business,2015,18+,5.4,10%,0,0,1,0,0,"Comedy,Drama",United States,English,91,Comedy,Drama,,,,,,
House Arrest,1996,7+,5.8,10%,0,0,1,0,0,"Comedy,Family",United States,English,108,Comedy,Family,,,,,,
Begum Jaan,2017,18+,5.6,10%,0,0,1,0,0,"Action,Drama,History",India,Hindi,128,Action,Drama,History,,,,,
Ash Wednesday,2002,18+,5.9,10%,0,0,1,0,0,"Drama,Mystery",United States,English,99,Drama,Mystery,,,,,,
Saturday the 14th,1981,7+,4.7,10%,0,0,1,0,0,"Comedy,Fantasy,Horror,Sci-Fi",United States,English,75,Comedy,Fantasy,Horror,Sci-Fi,,,,
The Family Tree,2011,18+,5.4,10%,0,0,1,0,0,"Comedy,Drama","Australia,United States",English,87,Comedy,Drama,,,,,,
Keys to Tulsa,1997,18+,5.1,10%,0,0,1,0,0,"Crime,Drama,Thriller","United States,United Kingdom",English,113,Crime,Drama,Thriller,,,,,
Dangerously Close,1986,18+,5.5,10%,0,0,1,0,0,"Action,Crime,Thriller",United States,English,95,Action,Crime,Thriller,,,,,
One Fall,2016,13+,5.2,10%,0,0,1,0,0,Drama,United States,English,90,Drama,,,,,,,
Just 45 Minutes from Broadway,2012,18+,5,10%,0,0,1,0,0,Drama,United States,English,112,Drama,,,,,,,
Fish Without a Bicycle,2003,18+,3.8,10%,0,0,1,0,0,"Comedy,Drama,Romance",United States,English,97,Comedy,Drama,Romance,,,,,
A Night at the Roxbury,1998,13+,6.3,11%,1,0,1,0,0,"Comedy,Music,Romance",United States,English,82,Comedy,Music,Romance,,,,,
Search Party,2014,18+,5.6,11%,1,0,0,0,0,"Comedy,Crime,Drama,Mystery,Romance,Thriller",United States,English,24,Comedy,Crime,Drama,Mystery,Romance,Thriller,,
I Am Wrath,2016,18+,5.4,11%,1,0,0,0,0,"Action,Crime,Drama,Thriller",United States,English,92,Action,Crime,Drama,Thriller,,,,
Sliver,1993,18+,5,11%,1,0,0,0,0,"Drama,Thriller",United States,English,107,Drama,Thriller,,,,,,
Hoodwinked Too! Hood VS. Evil,2011,7+,4.7,11%,1,0,0,0,0,"Animation,Comedy,Crime,Family,Mystery",United States,English,86,Animation,Comedy,Crime,Family,Mystery,,,
God's Not Dead: A Light in Darkness,2018,7+,4.5,11%,1,0,0,0,0,Drama,United States,English,105,Drama,,,,,,,
"Berlin, I Love You",2019,18+,4.6,11%,1,0,0,0,0,"Drama,Romance",Germany,"English,German",120,Drama,Romance,,,,,,
Change in the Air,2018,7+,5.4,11%,1,0,0,0,0,Drama,United States,English,94,Drama,,,,,,,
Black Gold,2011,18+,6.7,11%,0,1,1,0,0,"Action,Drama,History,War","France,Italy,Qatar,Tunisia",English,130,Action,Drama,History,War,,,,
No Holds Barred,1989,13+,4.4,11%,0,1,1,0,0,"Action,Sport",United States,English,93,Action,Sport,,,,,,
Backtrace,2018,18+,3.7,11%,0,1,0,0,0,"Action,Crime,Drama",United States,English,92,Action,Crime,Drama,,,,,
Ghost Team,2016,13+,4.6,11%,0,1,0,0,0,"Comedy,Thriller",United States,English,83,Comedy,Thriller,,,,,,
Dead Heat,1988,18+,6.1,11%,0,0,1,0,0,"Action,Comedy,Horror,Sci-Fi,Thriller",United States,English,86,Action,Comedy,Horror,Sci-Fi,Thriller,,,
The Ladies Man,2000,18+,5.2,11%,0,0,1,0,0,Comedy,United States,English,84,Comedy,,,,,,,
American Renegades,2017,13+,5.4,11%,0,0,1,0,0,"Action,Adventure,Crime,Drama,Thriller,War","France,Belgium,Germany,United States,Malta,Croatia,Netherlands","English,Croatian,German,Serbian",106,Action,Adventure,Crime,Drama,Thriller,War,,
Blood and Chocolate,2007,13+,5.5,11%,0,0,1,0,0,"Drama,Fantasy,Horror,Romance","United States,United Kingdom,Germany,Romania","English,Romanian",98,Drama,Fantasy,Horror,Romance,,,,
Crocodile Dundee in Los Angeles,2001,7+,4.8,11%,0,0,1,0,0,"Action,Adventure,Comedy,Crime","Australia,United States",English,92,Action,Adventure,Comedy,Crime,,,,
The Pebble and the Penguin,1995,all,5.6,11%,0,0,1,0,0,"Animation,Adventure,Comedy,Family,Musical","Ireland,United States",English,74,Animation,Adventure,Comedy,Family,Musical,,,
Eloise,2017,18+,4.6,11%,0,0,1,0,0,"Drama,Romance",Spain,Catalan,92,Drama,Romance,,,,,,
The Basement,2018,18+,4.6,11%,0,0,1,0,0,"Biography,Crime,Drama,Horror",United States,English,98,Biography,Crime,Drama,Horror,,,,
Back in the Day,2014,18+,5,11%,0,0,1,0,0,Comedy,"United Kingdom,United States",English,94,Comedy,,,,,,,
Virginia,2010,18+,5.4,11%,0,0,1,0,0,"Comedy,Fantasy,Horror,Mystery",United States,English,88,Comedy,Fantasy,Horror,Mystery,,,,
Cinderella II: Dreams Come True,2002,all,5,11%,0,0,0,1,0,"Animation,Family,Fantasy,Romance",United States,English,73,Animation,Family,Fantasy,Romance,,,,
The Bounty Hunter,2010,13+,5.6,12%,1,0,0,0,0,"Action,Comedy,Romance",United States,"English,Ukrainian",110,Action,Comedy,Romance,,,,,
W.E.,2011,18+,6.3,12%,1,0,0,0,0,"Drama,History,Romance",United Kingdom,"English,French,Russian",119,Drama,History,Romance,,,,,
First Kill,2017,18+,5,12%,1,0,0,0,0,"Action,Thriller","United Kingdom,Canada,United States",English,97,Action,Thriller,,,,,,
Friday the 13th Part III,1982,18+,5.7,12%,0,1,1,0,0,"Horror,Thriller",United States,English,95,Horror,Thriller,,,,,,
A Madea Family Funeral,2019,13+,4.4,12%,0,1,1,0,0,Comedy,United States,English,109,Comedy,,,,,,,
Atlas Shrugged: Part I,2011,13+,5.6,12%,0,0,1,0,0,"Drama,Mystery,Sci-Fi",United States,English,97,Drama,Mystery,Sci-Fi,,,,,
The Aryan Couple,2004,13+,6.3,12%,0,0,1,0,0,"Drama,War","United Kingdom,United States",English,120,Drama,War,,,,,,
Rage,2014,18+,5,12%,0,0,1,0,0,"Horror,Sci-Fi",Canada,English,91,Horror,Sci-Fi,,,,,,
Lake City,2008,18+,5.9,12%,0,0,1,0,0,"Crime,Drama",United States,English,93,Crime,Drama,,,,,,
College Road Trip,2008,all,4.3,12%,0,0,0,1,0,"Adventure,Comedy,Drama,Family",United States,English,83,Adventure,Comedy,Drama,Family,,,,
Brain on Fire,2017,13+,6.6,13%,1,0,0,0,0,"Biography,Drama","United States,Canada,Ireland",English,88,Biography,Drama,,,,,,
God's Not Dead,2014,7+,4.7,13%,1,0,1,0,0,Drama,United States,English,113,Drama,,,,,,,
A Family Man,2017,18+,6.5,13%,1,0,0,0,0,Drama,"Canada,United States",English,108,Drama,,,,,,,
Raajneeti,2010,7+,7.1,13%,1,0,0,0,0,"Drama,Thriller",India,"Hindi,English",163,Drama,Thriller,,,,,,
Screwed,2000,18+,5.8,13%,1,0,1,0,0,"Comedy,Crime",United States,English,81,Comedy,Crime,,,,,,
Arctic Dogs,2019,7+,4.5,13%,1,0,0,0,0,"Animation,Adventure,Comedy,Family","India,United Kingdom,China,Canada,Japan,South Korea,United States","English,Korean",92,Animation,Adventure,Comedy,Family,,,,
Cats & Dogs: The Revenge of Kitty Galore,2010,7+,4.3,13%,1,0,0,0,0,"Action,Comedy,Family,Fantasy","United States,Australia",English,82,Action,Comedy,Family,Fantasy,,,,
Woody Woodpecker,2017,7+,4.1,13%,1,0,0,0,0,"Comedy,Family",United States,English,91,Comedy,Family,,,,,,
Kings,2017,18+,5,13%,1,0,0,0,0,"Crime,Drama,Romance,Thriller","France,Belgium,China,United States",English,86,Crime,Drama,Romance,Thriller,,,,
Day of the Dead: Bloodline,2017,18+,3.4,13%,1,0,0,0,0,Horror,"Bulgaria,United States",English,90,Horror,,,,,,,
Viking Destiny,2018,18+,4.2,13%,1,0,0,0,0,"Action,Adventure,Fantasy","United Kingdom,Belgium",English,91,Action,Adventure,Fantasy,,,,,
The Pink Panther 2,2009,7+,5.6,13%,0,1,1,0,0,"Action,Adventure,Comedy,Crime,Family,Mystery",United States,"English,French,Spanish,Italian",92,Action,Adventure,Comedy,Crime,Family,Mystery,,
Action Point,2018,18+,5.1,13%,0,1,1,0,0,Comedy,"United States,South Africa",English,85,Comedy,,,,,,,
Flowers in the Attic,1987,18+,5.8,13%,0,0,1,0,0,"Drama,Horror,Mystery,Thriller","Canada,United States",English,86,Drama,Horror,Mystery,Thriller,,,,
If I Were You,2013,18+,7,13%,0,0,1,0,0,"Comedy,Drama","United Kingdom,Canada",English,115,Comedy,Drama,,,,,,
The Night Visitor,1971,7+,6.6,13%,0,0,1,0,0,"Crime,Thriller,Horror","Sweden,Denmark",English,106,Crime,Thriller,Horror,,,,,
