Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Genres,Country,Language,Runtime,Genres,,,,,,,
Thumbelina,1994,all,6.3,30%,0,0,0,1,0,"Animation,Family,Fantasy,Musical,Romance","Ireland,United States,Canada,United Kingdom,Denmark,Spain,Poland,Hungary",English,86,Animation,Family,Fantasy,Musical,Romance,,,
The Hunchback of Notre Dame II,2002,all,4.7,30%,0,0,0,1,0,"Animation,Adventure,Comedy,Drama,Family,Musical,Romance",United States,English,68,Animation,Adventure,Comedy,Drama,Family,Musical,Romance,
Underworld,2003,18+,7,31%,1,0,0,0,0,"Action,Fantasy,Thriller","United States,United Kingdom,Germany,Hungary",English,121,Action,Fantasy,Thriller,,,,,
A Bad Moms Christmas,2017,18+,5.6,31%,1,0,0,0,0,Comedy,"United States,China","English,Japanese",104,Comedy,,,,,,,
The X Files: I Want to Believe,2008,13+,5.9,31%,0,1,0,0,0,"Crime,Drama,Horror,Mystery,Sci-Fi,Thriller","United States,Canada","English,Russian,Czech",104,Crime,Drama,Horror,Mystery,Sci-Fi,Thriller,,
Free Willy 2: The Adventure Home,1995,7+,5.1,31%,0,1,0,0,0,"Adventure,Drama,Family","France,United States,Luxembourg","English,Danish,Malay,Dutch,Indonesian,Finnish,Luxembourgish,French Sign Language",95,Adventure,Drama,Family,,,,,
The Uninvited,2009,13+,6.3,31%,0,0,1,0,0,"Drama,Horror,Mystery,Thriller","United States,Canada,Germany",English,87,Drama,Horror,Mystery,Thriller,,,,
Tideland,2005,18+,6.5,31%,0,0,1,0,0,"Drama,Fantasy,Horror","United Kingdom,Canada",English,120,Drama,Fantasy,Horror,,,,,
Loving Pablo,2017,18+,6.3,31%,0,0,1,0,0,"Biography,Crime,Drama","Spain,Bulgaria","English,Spanish",123,Biography,Crime,Drama,,,,,
The Devil's Violinist,2013,18+,6.1,31%,0,0,1,0,0,"Biography,Drama,Musical","Germany,Italy","English,French",122,Biography,Drama,Musical,,,,,
Final Girl,2015,18+,4.7,31%,0,0,1,0,0,"Horror,Thriller","Canada,United States",English,90,Horror,Thriller,,,,,,
Welcome to Happiness,2015,13+,6.1,31%,0,0,1,0,0,"Comedy,Drama,Fantasy",United States,English,108,Comedy,Drama,Fantasy,,,,,
Queen of the Lot,2013,18+,5.3,31%,0,0,1,0,0,"Comedy,Drama",United States,English,120,Comedy,Drama,,,,,,
102 Dalmatians,2000,all,4.9,31%,0,0,0,1,0,"Adventure,Comedy,Family","United States,United Kingdom",English,100,Adventure,Comedy,Family,,,,,
Operation Dumbo Drop,1995,7+,5.1,31%,0,0,0,1,0,"Action,Adventure,Comedy,Drama,Family,War",United States,"English,Vietnamese",107,Action,Adventure,Comedy,Drama,Family,War,,
Romeo Must Die,2000,18+,6.1,32%,1,0,0,0,0,"Action,Crime,Thriller",United States,"English,Chinese",115,Action,Crime,Thriller,,,,,
For Colored Girls,2010,18+,6.1,32%,1,0,0,0,0,Drama,United States,English,133,Drama,,,,,,,
Irreplaceable You,2018,18+,6.4,32%,1,0,0,0,0,"Comedy,Drama,Romance",United States,English,96,Comedy,Drama,Romance,,,,,
3 Generations,2016,13+,5.9,32%,1,0,0,0,0,Drama,United States,"English,Spanish",92,Drama,,,,,,,
The Legacy of a Whitetail Deer Hunter,2018,16+,5.5,32%,1,0,0,0,0,"Comedy,Drama",United States,English,83,Comedy,Drama,,,,,,
Man on a Ledge,2012,13+,6.6,32%,0,1,1,0,0,"Action,Adventure,Crime,Thriller",United States,"English,Spanish",102,Action,Adventure,Crime,Thriller,,,,
Wild Card,2015,18+,5.6,32%,0,1,1,0,0,"Action,Crime,Drama,Thriller",United States,English,92,Action,Crime,Drama,Thriller,,,,
Tamara,2005,18+,5.1,32%,0,1,0,0,0,"Drama,Fantasy,Horror,Thriller",Canada,English,98,Drama,Fantasy,Horror,Thriller,,,,
The Ultimate Gift,2006,7+,7.3,32%,0,0,1,0,0,"Drama,Family,Romance",United States,"English,Spanish",114,Drama,Family,Romance,,,,,
Home Again,2017,13+,5.8,32%,0,0,1,0,0,"Comedy,Drama,Romance",United States,English,97,Comedy,Drama,Romance,,,,,
Wonder Wheel,2017,13+,6.2,32%,0,0,1,0,0,Drama,United States,English,101,Drama,,,,,,,
1492: Conquest of Paradise,1992,13+,6.5,32%,0,0,1,0,0,"Adventure,Biography,Drama,History","France,Spain","Spanish,Latin,Arabic,English",154,Adventure,Biography,Drama,History,,,,
Paper Man,2009,18+,6.6,32%,0,0,1,0,0,"Comedy,Drama",United States,English,110,Comedy,Drama,,,,,,
Creepshow 2,1987,18+,6.1,32%,0,0,1,0,0,"Fantasy,Horror",United States,English,92,Fantasy,Horror,,,,,,
Switchback,1997,18+,6.4,32%,0,0,1,0,0,"Crime,Mystery,Thriller",United States,English,118,Crime,Mystery,Thriller,,,,,
Mambo Italiano,2003,18+,6.7,32%,0,0,1,0,0,"Comedy,Drama,Romance",Canada,"English,Italian,French",88,Comedy,Drama,Romance,,,,,
Good,2008,18+,6.2,32%,0,0,1,0,0,"Drama,Romance,War","United Kingdom,Germany,Hungary,Cayman Islands","English,German,French",92,Drama,Romance,War,,,,,
A Good Marriage,2014,18+,5.2,32%,0,0,1,0,0,"Crime,Drama,Thriller",United States,English,102,Crime,Drama,Thriller,,,,,
The Tenants,2006,18+,5.2,32%,0,0,1,0,0,"Crime,Drama,Romance,Thriller","United States,Germany",English,93,Crime,Drama,Romance,Thriller,,,,
Around the World in 80 Days,2004,7+,5.9,32%,0,0,0,1,0,"Action,Adventure,Comedy,Family,Western","United States,Germany,Ireland,United Kingdom","English,Cantonese,French,German,Hindi,Turkish",120,Action,Adventure,Comedy,Family,Western,,,
Valiant,2005,all,5.5,32%,0,0,0,1,0,"Animation,Adventure,Comedy,Family,War","United Kingdom,United States",English,76,Animation,Adventure,Comedy,Family,War,,,
"Love, Rosie",2014,18+,7.2,33%,1,0,1,0,0,"Comedy,Romance","Germany,United Kingdom",English,102,Comedy,Romance,,,,,,
Click,2006,13+,6.4,33%,1,0,0,0,0,"Comedy,Drama,Fantasy,Romance",United States,"English,Portuguese,Japanese",107,Comedy,Drama,Fantasy,Romance,,,,
Terminator Salvation,2009,13+,6.5,33%,1,0,0,0,0,"Action,Adventure,Sci-Fi","United States,Germany,United Kingdom,Italy","English,Italian",115,Action,Adventure,Sci-Fi,,,,,
Same Kind of Different as Me,2017,13+,6.6,33%,1,0,0,0,0,"Biography,Drama",United States,English,119,Biography,Drama,,,,,,
Initial D,2005,7+,6.4,33%,1,0,0,0,0,"Action,Comedy,Drama,Romance","China,Hong Kong","Cantonese,English",107,Action,Comedy,Drama,Romance,,,,
Pokémon the Movie: I Choose You!,2017,7+,6.3,33%,1,0,0,0,0,"Animation,Action,Adventure,Family,Fantasy","Japan,United States","Japanese,English",98,Animation,Action,Adventure,Family,Fantasy,,,
The Nutcracker and the Four Realms,2018,7+,5.5,33%,1,0,0,0,0,"Adventure,Family,Fantasy","United States,Canada","English,French",99,Adventure,Family,Fantasy,,,,,
Luka Chuppi,2019,7+,6.3,33%,1,0,0,0,0,"Comedy,Romance",India,Hindi,126,Comedy,Romance,,,,,,
Tarzan II,2005,all,5.6,33%,1,0,0,0,0,"Animation,Adventure,Comedy,Family",United States,English,72,Animation,Adventure,Comedy,Family,,,,
Demonic,2015,18+,5.3,33%,1,0,0,0,0,"Horror,Thriller",United States,English,83,Horror,Thriller,,,,,,
Fun Mom Dinner,2017,18+,5.2,33%,1,0,0,0,0,Comedy,United States,English,81,Comedy,,,,,,,
Elisa & Marcela,2019,18+,6.5,33%,1,0,0,0,0,"Biography,Drama,Romance",Spain,"Spanish,Portuguese",118,Biography,Drama,Romance,,,,,
Deep,2017,7+,4.1,33%,1,0,0,0,0,"Animation,Adventure,Comedy,Family","Spain,Belgium,Switzerland,United States,China,United Kingdom",English,92,Animation,Adventure,Comedy,Family,,,,
Poster Boys,2017,13+,5.5,33%,1,0,0,0,0,Comedy,India,Hindi,128,Comedy,,,,,,,
The Thousand Faces of Dunjia,2017,7+,5.4,33%,0,1,0,0,0,"Action,Adventure,Fantasy","China,Hong Kong",Mandarin,113,Action,Adventure,Fantasy,,,,,
The Intended,2002,18+,5.8,33%,0,1,0,0,0,"Drama,Thriller","United Kingdom,Denmark",English,110,Drama,Thriller,,,,,,
The Eternal,1998,18+,4.4,33%,0,1,0,0,0,Horror,United States,English,95,Horror,,,,,,,
The Bodyguard,1992,18+,6.3,33%,0,0,1,0,0,"Crime,Drama,Thriller",United Kingdom,English,60,Crime,Drama,Thriller,,,,,
The Man in the Iron Mask,1998,13+,6.5,33%,0,0,1,0,0,"Action,Adventure,Drama","France,United States","English,Italian",132,Action,Adventure,Drama,,,,,
I Spit on Your Grave,2010,18+,6.3,33%,0,0,1,0,0,"Horror,Thriller",United States,English,108,Horror,Thriller,,,,,,
The Mechanic,1972,7+,6.9,33%,0,0,1,0,0,"Action,Thriller",United States,English,93,Action,Thriller,,,,,,
Necessary Roughness,1991,13+,6.2,33%,0,0,1,0,0,"Comedy,Sport",United States,English,108,Comedy,Sport,,,,,,
Cromwell,1970,all,6.9,33%,0,0,1,0,0,"Biography,Drama,History,War","United Kingdom,United States",English,139,Biography,Drama,History,War,,,,
Good Kids,2016,18+,6.1,33%,0,0,1,0,0,"Comedy,Drama",United States,"English,French,Japanese",86,Comedy,Drama,,,,,,
Hiding Out,1987,13+,6.4,33%,0,0,1,0,0,"Comedy,Drama,Romance,Thriller",United States,English,98,Comedy,Drama,Romance,Thriller,,,,
The Babysitters,2007,18+,5.6,33%,0,0,1,0,0,"Adventure,Drama",United States,English,88,Adventure,Drama,,,,,,
Malevolence,2004,18+,5.1,33%,0,0,1,0,0,"Crime,Horror,Mystery,Thriller",United States,English,90,Crime,Horror,Mystery,Thriller,,,,
Plush,2013,18+,5.3,33%,0,0,1,0,0,"Drama,Music,Romance,Thriller",United States,English,99,Drama,Music,Romance,Thriller,,,,
1 Night,2017,13+,5.8,33%,0,0,1,0,0,"Drama,Romance",United States,English,80,Drama,Romance,,,,,,
Song One,2015,13+,5.8,33%,0,0,1,0,0,"Drama,Music",United States,English,86,Drama,Music,,,,,,
A Little Trip to Heaven,2005,18+,6,33%,0,0,1,0,0,"Drama,Thriller","Iceland,United States",English,98,Drama,Thriller,,,,,,
Trudell,2005,7+,7.2,33%,0,0,1,0,0,Documentary,United States,English,80,Documentary,,,,,,,
The Sex Monster,1999,18+,5.2,33%,0,0,1,0,0,Comedy,United States,English,97,Comedy,,,,,,,
Ktown Cowboys,2015,18+,6.7,33%,0,0,1,0,0,"Comedy,Drama",United States,English,81,Comedy,Drama,,,,,,
Harvard Man,2001,18+,4.9,33%,0,0,1,0,0,"Comedy,Crime,Drama,Romance,Thriller",United States,English,99,Comedy,Crime,Drama,Romance,Thriller,,,
Man Friday,1975,7+,6.4,33%,0,0,1,0,0,"Adventure,Drama","United Kingdom,United States",English,115,Adventure,Drama,,,,,,
Chasers,1994,18+,5.1,33%,0,0,1,0,0,"Action,Comedy,Drama,Romance",United States,English,102,Action,Comedy,Drama,Romance,,,,
The Trouble with Bliss,2011,13+,5.3,33%,0,0,1,0,0,"Comedy,Drama",United States,English,97,Comedy,Drama,,,,,,
Chain Letter,2010,18+,4.1,33%,0,0,1,0,0,Horror,United States,English,88,Horror,,,,,,,
Hellbenders,2013,18+,4.8,33%,0,0,1,0,0,"Action,Adventure,Drama,Romance,Western","Italy,Spain","Italian,Spanish",90,Action,Adventure,Drama,Romance,Western,,,
Benji: Off the Leash!,2004,7+,5,33%,0,0,1,0,0,"Drama,Family",United States,English,97,Drama,Family,,,,,,
Beneath,2013,18+,3.7,33%,0,0,1,0,0,"Horror,Sci-Fi,Thriller",United States,English,90,Horror,Sci-Fi,Thriller,,,,,
Between Love & Goodbye,2009,18+,5.7,33%,0,0,1,0,0,"Drama,Music,Romance",United States,"English,French",97,Drama,Music,Romance,,,,,
The Hooligan Factory,2014,13+,4.8,33%,0,0,1,0,0,Comedy,United Kingdom,English,90,Comedy,,,,,,,
The Congressman,2016,18+,6.3,33%,0,0,1,0,0,Drama,United States,English,98,Drama,,,,,,,
Citizen Duane,2006,13+,5.1,33%,0,0,1,0,0,Comedy,Canada,English,90,Comedy,,,,,,,
Rosebud,1975,7+,5.1,33%,0,0,1,0,0,"Action,Adventure,Drama,Thriller",United States,English,126,Action,Adventure,Drama,Thriller,,,,
After the Fall,2014,18+,5.1,33%,0,0,1,0,0,Drama,United States,English,90,Drama,,,,,,,
Search and Destroy,1995,18+,5.4,33%,0,0,1,0,0,"Action,Comedy,Drama",United States,English,90,Action,Comedy,Drama,,,,,
Pirates of the Caribbean: On Stranger Tides,2011,13+,6.6,33%,0,0,0,1,0,"Action,Adventure,Fantasy","United States,United Kingdom","English,Spanish",137,Action,Adventure,Fantasy,,,,,
Aladdin and the King of Thieves,1996,all,6.4,33%,0,0,0,1,0,"Animation,Adventure,Comedy,Family,Fantasy,Musical,Romance",United States,English,81,Animation,Adventure,Comedy,Family,Fantasy,Musical,Romance,
The Return of Jafar,1994,all,5.9,33%,0,0,0,1,0,"Animation,Adventure,Comedy,Family,Fantasy,Musical,Romance",United States,English,69,Animation,Adventure,Comedy,Family,Fantasy,Musical,Romance,
The Little Mermaid: Ariel's Beginning,2008,7+,6.3,33%,0,0,0,1,0,"Animation,Drama,Family,Fantasy,Musical",United States,English,77,Animation,Drama,Family,Fantasy,Musical,,,
Pooh's Grand Adventure: The Search for Christopher Robin,1997,all,7.1,33%,0,0,0,1,0,"Animation,Adventure,Comedy,Family,Musical",United States,English,76,Animation,Adventure,Comedy,Family,Musical,,,
The Little Mermaid II: Return to the Sea,2000,7+,5.6,33%,0,0,0,1,0,"Animation,Drama,Family,Fantasy,Musical","United States,Canada,Australia,Taiwan",English,75,Animation,Drama,Family,Fantasy,Musical,,,
Elizabeth: The Golden Age,2007,13+,6.8,34%,1,0,0,0,0,"Biography,Drama,History,War","United Kingdom,France,Germany,United States","English,Spanish,Swedish",114,Biography,Drama,History,War,,,,
By the Sea,2015,18+,5.3,34%,1,0,0,0,0,"Drama,Romance","France,Malta,United States","English,French,Ukrainian",122,Drama,Romance,,,,,,
The Assignment,2016,18+,4.6,34%,1,0,0,0,0,"Action,Crime,Thriller","France,Canada,United States",English,95,Action,Crime,Thriller,,,,,
Wonder Park,2019,7+,5.8,34%,0,1,1,0,0,"Animation,Adventure,Comedy,Family,Fantasy","Spain,United States",English,85,Animation,Adventure,Comedy,Family,Fantasy,,,
Adore,2013,18+,6.2,34%,0,0,1,0,0,"Drama,Romance","Australia,France",English,112,Drama,Romance,,,,,,
Seberg,2019,18+,5.4,34%,0,0,1,0,0,"Biography,Drama,Thriller","United Kingdom,United States","English,French",102,Biography,Drama,Thriller,,,,,
The Only Living Boy in New York,2017,18+,6.3,34%,0,0,1,0,0,Drama,United States,English,89,Drama,,,,,,,
The Relic,1997,18+,5.8,34%,0,0,1,0,0,"Horror,Mystery,Sci-Fi,Thriller","United Kingdom,United States,Japan,Germany",English,110,Horror,Mystery,Sci-Fi,Thriller,,,,
King of Thieves,2018,18+,5.5,34%,0,0,1,0,0,"Crime,Drama",United Kingdom,English,108,Crime,Drama,,,,,,
Passion,2012,18+,5.3,34%,0,0,1,0,0,Drama,United States,"Aramaic,Latin,Hebrew",127,Drama,,,,,,,
A Rumor of Angels,2000,13+,6.9,34%,0,0,1,0,0,Drama,United States,English,106,Drama,,,,,,,
Formosa Betrayed,2010,18+,6.1,34%,0,0,1,0,0,Thriller,United States,English,103,Thriller,,,,,,,
Hocus Pocus,1993,7+,6.9,34%,0,0,0,1,0,"Comedy,Family,Fantasy",United States,"English,French",96,Comedy,Family,Fantasy,,,,,
The Matrix Revolutions,2003,18+,6.8,35%,1,0,0,0,0,"Action,Sci-Fi",United States,"English,French",129,Action,Sci-Fi,,,,,,
Dave Chappelle: Sticks & Stones,2019,18+,8.5,35%,1,0,0,0,0,Comedy,United States,English,65,Comedy,,,,,,,
Final Destination,2000,18+,6.7,35%,1,0,0,0,0,"Horror,Thriller",United States,"English,French",98,Horror,Thriller,,,,,,
American Assassin,2017,18+,6.2,35%,1,0,0,0,0,"Action,Thriller",United States,"English,Spanish,Arabic,Polish,Turkish,Russian,Italian,Persian",112,Action,Thriller,,,,,,
What a Girl Wants,2003,7+,5.8,35%,1,0,0,0,0,"Comedy,Drama,Family,Romance","United States,United Kingdom",English,105,Comedy,Drama,Family,Romance,,,,
Equals,2015,13+,6.1,35%,1,0,0,0,0,"Drama,Romance,Sci-Fi","United States,Indonesia",English,101,Drama,Romance,Sci-Fi,,,,,
Transformers: Dark of the Moon,2011,13+,6.2,35%,0,1,1,0,0,"Action,Adventure,Sci-Fi",United States,English,154,Action,Adventure,Sci-Fi,,,,,
A Good Old Fashioned Orgy,2011,18+,6.1,35%,0,1,1,0,0,"Comedy,Romance",United States,English,95,Comedy,Romance,,,,,,
Children of the Corn,1984,18+,5.7,35%,0,1,1,0,0,"Horror,Thriller",United States,English,92,Horror,Thriller,,,,,,
Double Impact,1991,18+,5.6,35%,0,0,1,0,0,"Action,Crime",United States,English,110,Action,Crime,,,,,,
The Weight of Water,2000,18+,5.9,35%,0,0,1,0,0,"Crime,Drama,Mystery,Thriller","United States,Canada,France",English,114,Crime,Drama,Mystery,Thriller,,,,
Local Color,2006,18+,6.9,35%,0,0,1,0,0,Drama,United States,English,107,Drama,,,,,,,
Adam Resurrected,2008,18+,6.3,35%,0,0,1,0,0,"Drama,War","Germany,Israel,United States",English,106,Drama,War,,,,,,
Glen or Glenda,1953,7+,4.2,35%,0,0,1,0,0,Drama,United States,English,65,Drama,,,,,,,
The Odd Life of Timothy Green,2012,7+,6.6,35%,0,0,0,1,0,"Comedy,Drama,Family,Fantasy",United States,English,105,Comedy,Drama,Family,Fantasy,,,,
Rookie of the Year,1993,7+,6,35%,0,0,0,1,0,"Comedy,Family,Fantasy,Sport",United States,English,103,Comedy,Family,Fantasy,Sport,,,,
21,2008,13+,6.8,36%,1,0,0,0,0,"Crime,Drama,History,Thriller",United States,English,123,Crime,Drama,History,Thriller,,,,
6 Underground,2019,18+,6.1,36%,1,0,0,0,0,"Action,Comedy,Thriller",United States,"English,Turkmen,Cantonese,Italian,Spanish,Ukrainian,French",128,Action,Comedy,Thriller,,,,,
One Day,2011,13+,7,36%,1,0,1,0,0,"Drama,Romance","United States,United Kingdom",English,107,Drama,Romance,,,,,,
Burlesque,2010,13+,6.4,36%,1,0,0,0,0,"Drama,Music,Musical,Romance",United States,English,119,Drama,Music,Musical,Romance,,,,
Battle: Los Angeles,2011,13+,5.7,36%,1,0,0,0,0,"Action,Sci-Fi",United States,"English,Ukrainian",116,Action,Sci-Fi,,,,,,
In the Tall Grass,2019,18+,5.4,36%,1,0,0,0,0,"Drama,Horror,Mystery,Thriller","Canada,United States",English,101,Drama,Horror,Mystery,Thriller,,,,
Patrick,2018,16+,5.8,36%,1,0,1,0,0,"Comedy,Family,Romance",United Kingdom,English,94,Comedy,Family,Romance,,,,,
Puerto Ricans in Paris,2015,18+,5.3,36%,1,0,0,0,0,Comedy,United States,English,82,Comedy,,,,,,,
Judwaa 2,2017,16+,3.8,36%,1,0,0,0,0,"Action,Comedy",India,Hindi,145,Action,Comedy,,,,,,
Secret Obsession,2019,13+,4.3,36%,1,0,0,0,0,"Drama,Mystery,Thriller",United States,English,97,Drama,Mystery,Thriller,,,,,
Racer and the Jailbird,2017,18+,6.3,36%,0,1,0,0,0,"Crime,Drama,Romance","Belgium,France,Netherlands","Dutch,French",130,Crime,Drama,Romance,,,,,
Rules of Engagement,2000,18+,6.4,36%,0,0,1,0,0,"Comedy,Romance",United States,English,22,Comedy,Romance,,,,,,
23 Blast,2014,13+,6.5,36%,0,0,1,0,0,"Drama,Family,Sport",United States,English,98,Drama,Family,Sport,,,,,
Art School Confidential,2006,18+,6.3,36%,0,0,1,0,0,"Comedy,Drama,Romance",United States,English,102,Comedy,Drama,Romance,,,,,
Ooops! Noah is Gone...,2015,all,5.8,36%,0,0,1,0,0,"Animation,Adventure,Comedy","Germany,Belgium,Luxembourg,Ireland,United States",English,87,Animation,Adventure,Comedy,,,,,
Asylum,1972,7+,6.5,36%,0,0,1,0,0,"Drama,Romance,Thriller","United Kingdom,Ireland",English,99,Drama,Romance,Thriller,,,,,
Terror Train,1980,18+,5.9,36%,0,0,1,0,0,"Horror,Mystery,Thriller",Canada,English,97,Horror,Mystery,Thriller,,,,,
Radio Free Albemuth,2010,18+,5.6,36%,0,0,1,0,0,"Drama,Sci-Fi",United States,English,111,Drama,Sci-Fi,,,,,,
The Hollow Point,2016,18+,5.4,36%,0,0,1,0,0,"Crime,Drama,Thriller,Western",United States,English,97,Crime,Drama,Thriller,Western,,,,
Alien Trespass,2009,7+,5.7,36%,0,0,1,0,0,"Comedy,Horror,Sci-Fi,Thriller","United States,Canada",English,90,Comedy,Horror,Sci-Fi,Thriller,,,,
Sharknado 3: Oh Hell No!,2015,16+,4.1,36%,0,0,1,0,0,"Action,Adventure,Comedy,Horror,Sci-Fi,Thriller",United States,English,93,Action,Adventure,Comedy,Horror,Sci-Fi,Thriller,,
Honeyglue,2015,18+,6.3,36%,0,0,1,0,0,"Drama,Romance",United States,English,107,Drama,Romance,,,,,,
Park,2006,18+,5.7,36%,0,0,1,0,0,"Comedy,Drama",United States,English,86,Comedy,Drama,,,,,,
Dark Obsession,1989,18+,4.8,36%,0,0,1,0,0,"Drama,Thriller",United Kingdom,English,100,Drama,Thriller,,,,,,
National Treasure: Book of Secrets,2007,7+,6.5,36%,0,0,0,1,0,"Action,Adventure,Family,Mystery,Thriller",United States,"English,French",124,Action,Adventure,Family,Mystery,Thriller,,,
"Mickey, Donald, Goofy: The Three Musketeers",2004,all,6.4,36%,0,0,0,1,0,"Animation,Adventure,Comedy,Family,Musical,Romance",United States,English,68,Animation,Adventure,Comedy,Family,Musical,Romance,,
Babes in Toyland,1961,all,6.3,36%,0,0,0,1,0,"Comedy,Family,Fantasy,Musical,Romance",United States,English,106,Comedy,Family,Fantasy,Musical,Romance,,,
Prom,2011,7+,5.4,36%,0,0,0,1,0,"Comedy,Drama,Family,Romance",United States,English,104,Comedy,Drama,Family,Romance,,,,
Chicken Little,2005,all,5.7,37%,1,0,0,1,0,"Animation,Adventure,Comedy,Family,Fantasy,Sci-Fi",United States,English,81,Animation,Adventure,Comedy,Family,Fantasy,Sci-Fi,,
For Love or Money,1993,7+,6.2,37%,1,0,0,0,0,"Comedy,Drama,Romance",United States,English,96,Comedy,Drama,Romance,,,,,
Close,2019,18+,5.7,37%,1,0,0,0,0,"Action,Drama,Thriller","United Kingdom,United States","Arabic,French,English",94,Action,Drama,Thriller,,,,,
Cut Bank,2014,18+,6,37%,1,0,0,0,0,"Crime,Drama,Thriller",United States,English,93,Crime,Drama,Thriller,,,,,
Hector and the Search for Happiness,2014,18+,7,37%,0,1,0,0,0,"Adventure,Comedy,Drama","Germany,Canada,United Kingdom,South Africa,United States","English,French,German",120,Adventure,Comedy,Drama,,,,,
Before I Go to Sleep,2014,18+,6.3,37%,0,1,0,0,0,"Drama,Horror,Mystery,Thriller","United Kingdom,United States,France,Sweden",English,92,Drama,Horror,Mystery,Thriller,,,,
The Chumscrubber,2005,18+,6.9,37%,0,1,0,0,0,"Comedy,Drama","United States,Germany",English,108,Comedy,Drama,,,,,,
Madea's Big Happy Family,2011,13+,4.7,37%,0,1,1,0,0,"Comedy,Drama",United States,English,106,Comedy,Drama,,,,,,
Spun,2002,18+,6.8,37%,0,0,1,0,0,"Comedy,Crime,Drama",United States,English,101,Comedy,Crime,Drama,,,,,
"New York, I Love You",2008,18+,6.2,37%,0,0,1,0,0,"Comedy,Drama,Romance","United States,Bahrain","English,French,Cantonese,Gujarati,Yiddish",103,Comedy,Drama,Romance,,,,,
Sordid Lives,2000,18+,6.8,37%,0,0,1,0,0,"Comedy,Romance",United States,English,111,Comedy,Romance,,,,,,
The Visual Bible: The Gospel of John,2003,13+,7.7,37%,0,0,1,0,0,"Biography,Drama,History","Canada,United Kingdom",English,180,Biography,Drama,History,,,,,
Blue Chips,1994,13+,6.2,37%,0,0,1,0,0,"Drama,Sport",United States,English,108,Drama,Sport,,,,,,
Jennifer Eight,1992,18+,6.3,37%,0,0,1,0,0,"Crime,Drama,Mystery,Thriller","Canada,United States,United Kingdom",English,124,Crime,Drama,Mystery,Thriller,,,,
The Quiet Ones,2014,13+,5.1,37%,0,0,1,0,0,"Horror,Mystery,Thriller",United Kingdom,English,98,Horror,Mystery,Thriller,,,,,
Desert Blue,1999,18+,6.2,37%,0,0,1,0,0,Drama,United States,English,90,Drama,,,,,,,
Brother Bear,2003,all,6.8,37%,0,0,0,1,0,"Animation,Adventure,Comedy,Family,Fantasy",United States,"English,Inuktitut,Croatian,Serbian",85,Animation,Adventure,Comedy,Family,Fantasy,,,
Mars Needs Moms,2011,7+,5.4,37%,0,0,0,1,0,"Animation,Action,Adventure,Family,Sci-Fi",United States,English,88,Animation,Action,Adventure,Family,Sci-Fi,,,
Spenser Confidential,2020,18+,6.2,38%,1,0,0,0,0,"Action,Comedy,Crime,Drama,Thriller",United States,English,111,Action,Comedy,Crime,Drama,Thriller,,,
From Paris with Love,2010,18+,6.5,38%,1,0,1,0,0,"Action,Crime,Thriller",France,"English,French,Mandarin,German",92,Action,Crime,Thriller,,,,,
Johnny English Reborn,2011,7+,6.3,38%,1,0,0,0,0,"Action,Adventure,Comedy,Crime","United Kingdom,France,United States","English,Mandarin,Swiss German,Cantonese,Russian",101,Action,Adventure,Comedy,Crime,,,,
We Are Your Friends,2015,18+,6.2,38%,1,0,0,0,0,"Drama,Music,Romance","United Kingdom,France,United States",English,96,Drama,Music,Romance,,,,,
Cirque du Freak: The Vampire's Assistant,2009,13+,5.8,38%,1,0,0,0,0,"Action,Adventure,Fantasy,Thriller",United States,"English,Spanish,French",109,Action,Adventure,Fantasy,Thriller,,,,
The Green Inferno,2014,18+,5.3,38%,1,0,0,0,0,"Adventure,Horror","United States,Spain,Chile,Peru","English,Spanish",100,Adventure,Horror,,,,,,
Skiptrace,2016,13+,5.7,38%,1,0,0,0,0,"Action,Adventure,Comedy,Crime,Thriller","China,Hong Kong,United States","Mandarin,English,Mongolian",107,Action,Adventure,Comedy,Crime,Thriller,,,
Malevolent,2018,18+,4.8,38%,1,0,0,0,0,Horror,United Kingdom,English,89,Horror,,,,,,,
Point Blank,2019,18+,5.7,38%,1,0,1,0,0,"Action,Thriller","France,United States",English,86,Action,Thriller,,,,,,
Social Animals,2018,18+,5.2,38%,1,0,0,0,0,Comedy,United States,English,90,Comedy,,,,,,,
I Am Vengeance,2018,18+,4.3,38%,1,0,1,0,0,Action,United Kingdom,English,92,Action,,,,,,,
Odd Thomas,2013,13+,6.8,38%,0,1,1,0,0,"Comedy,Fantasy,Horror,Mystery,Romance,Thriller","United States,United Kingdom",English,100,Comedy,Fantasy,Horror,Mystery,Romance,Thriller,,
Girls Just Want to Have Fun,1985,7+,6,38%,0,1,1,0,0,"Comedy,Music,Romance",United States,English,90,Comedy,Music,Romance,,,,,
Cruise,2018,18+,5.3,38%,0,1,0,0,0,"Drama,Romance",United States,English,90,Drama,Romance,,,,,,
A Kind of Murder,2016,18+,5.3,38%,0,1,0,0,0,"Crime,Drama,Mystery,Thriller",United States,English,95,Crime,Drama,Mystery,Thriller,,,,
The Boost,1988,18+,6.1,38%,0,1,0,0,0,"Drama,Romance",United States,English,95,Drama,Romance,,,,,,
Silent Tongue,1993,13+,5.3,38%,0,1,1,0,0,"Drama,Horror,Western","France,Netherlands,United Kingdom,United States",English,102,Drama,Horror,Western,,,,,
